word,common,prefix,distinct
boneless,5477,-1,-1
bonelike,7615,-1,-1
boney,6180,-1,-1
bonfire,3514,-1,1988
bonnet,3445,-1,1957
bonsai,5343,-1,2766
bonus,833,484,620
bony,3757,-1,-1
boogeyman,6119,-1,3116
boogieman,7356,-1,-1
book,81,76,71
boondocks,6380,-1,3218
booted,3942,-1,-1
booth,1419,-1,-1
bootie,6609,-1,-1
booting,5083,-1,-1
bootlace,7488,-1,-1
bootleg,4432,-1,2384
boots,1014,-1,739
boozy,6120,-1,3117
borax,6220,-1,3152
boring,870,501,-1
borough,2016,-1,-1
borrower,3758,-1,2101
borrowing,2220,-1,1382
boss,470,330,381
botanical,2984,-1,1756
botanist,5057,-1,2658
botany,3351,-1,1918
botch,6364,-1,-1
both,28,28,26
bottle,675,-1,-1
bottling,4086,-1,-1
bottom,401,-1,331
bounce,1574,709,1046
bouncing,2640,-1,-1
bouncy,4049,-1,-1
bounding,5536,-1,-1
boundless,4535,-1,-1
bountiful,5084,-1,2668
bovine,4642,1190,2487
boxcar,6273,-1,3173
boxer,2249,-1,1397
boxing,1286,633,888
boxlike,7502,-1,3638
boxy,5778,-1,-1
breach,1357,-1,-1
breath,742,455,571
breeches,5727,-1,2925
breeching,7449,-1,-1
breeder,3446,-1,-1
breeding,1452,-1,-1
breeze,1943,-1,1244
breezy,4241,-1,-1
brethren,2908,-1,1715
brewery,2467,-1,1499
brewing,2192,-1,-1
briar,5153,-1,2692
bribe,2941,-1,1733
brick,1137,-1,805
bride,1453,-1,-1
bridged,5478,-1,2823
brigade,1845,-1,1187
bright,633,-1,-1
brilliant,702,-1,553
brim,4472,-1,2403
bring,131,118,112
brink,2909,-1,-1
brisket,5114,-1,-1
briskly,5932,-1,3022
briskness,7489,-1,3633
bristle,5479,-1,2824
brittle,3659,-1,-1
broadband,2390,-1,1462
broadcast,931,-1,684
broaden,3607,-1,-1
broadly,2041,-1,-1
broadness,7330,-1,-1
broadside,5177,-1,2702
broadways,7543,-1,-1
broiler,5779,-1,2946
broiling,6843,-1,-1
broken,359,-1,304
broker,1872,-1,-1
bronchial,5950,-1,3029
bronco,4720,-1,2522
bronze,1214,-1,854
bronzing,6948,-1,-1
brook,2250,-1,-1
broom,3208,-1,-1
brought,173,149,145
browbeat,7032,-1,3465
brownnose,7616,-1,-1
browse,2659,-1,1602
browsing,2641,-1,-1
bruising,4014,-1,-1
brunch,3082,-1,-1
brunette,3273,-1,-1
brunt,4242,-1,-1
brush,1166,602,-1
brussels,1637,-1,1081
brute,3209,-1,1850
brutishly,7617,-1,-1
bubble,1306,639,906
bubbling,3831,-1,-1
bubbly,3943,-1,-1
buccaneer,6340,-1,3197
bucked,6181,-1,-1
bucket,1481,685,1001
buckle,2942,-1,-1
buckshot,6241,-1,3161
buckskin,6583,-1,3298
bucktooth,7568,-1,3655
buckwheat,5344,-1,-1
buddhism,2551,-1,-1
buddhist,1970,-1,1257
budding,3660,-1,2058
buddy,909,-1,667
budget,417,298,344
buffalo,1339,648,924
buffed,6305,-1,-1
buffer,2144,-1,1345
buffing,6242,-1,-1
buffoon,5312,-1,2755
buggy,3551,1076,2008
bulb,2468,-1,-1
bulge,3793,-1,2120
bulginess,7618,-1,-1
bulgur,6949,-1,3440
bulk,1236,620,864
bulldog,3352,-1,1919
bulldozer,5085,-1,-1
bullfight,6708,-1,-1
bullfrog,6464,-1,-1
bullhorn,6510,-1,-1
bullion,4015,-1,2205
bullish,4156,-1,2269
bullpen,3515,-1,1989
bullring,6627,-1,-1
bullseye,5313,-1,-1
bullwhip,7078,-1,3482
bully,1920,-1,1232
bunch,676,428,535
bundle,1778,-1,1147
bungee,5211,-1,2713
bunion,6816,-1,-1
bunkbed,7514,-1,3640
bunkhouse,6560,-1,3285
bunkmate,7552,-1,3651
bunny,1891,-1,1214
bunt,5270,-1,-1
busboy,6910,-1,-1
bush,782,465,596
busily,6005,-1,3056
busload,6976,-1,-1
bust,1534,-1,-1
busybody,6789,-1,3372
buzz,1514,697,1016
cabana,5636,-1,2886
cabbage,2789,-1,1663
cabbie,5873,-1,-1
cabdriver,7202,-1,-1
cable,717,446,-1
caboose,5951,-1,3030
cache,2552,912,-1
cackle,6341,-1,3198
cacti,5480,-1,2825
cactus,3274,-1,-1
caddie,5933,-1,3023
caddy,4832,-1,-1
cadet,3447,-1,1958
cadillac,3014,989,-1
cadmium,5178,-1,2703
cage,1358,651,-1
cahoots,6068,1323,3088
cake,729,449,-1
calamari,6006,-1,3057
calamity,3869,-1,-1
calcium,2042,-1,1288
calculate,1921,-1,1233
calculus,2642,-1,1594
caliber,2495,-1,1517
calibrate,5345,-1,-1
calm,718,447,562
caloric,4756,-1,-1
calorie,2660,-1,1603
calzone,6688,-1,-1
camcorder,5513,-1,2839
cameo,3015,-1,1774
camera,368,277,310
camisole,6856,-1,3399
camper,3723,-1,-1
campfire,4325,-1,2341
camping,1613,-1,-1
campsite,4363,-1,-1
campus,757,-1,578
canal,1182,-1,832
canary,3135,-1,-1
cancel,1264,-1,878
candied,5874,-1,-1
candle,1892,-1,1215
candy,1077,-1,771
cane,2193,-1,-1
canine,3516,-1,-1
canister,4364,-1,2358
cannabis,1556,-1,1032
canned,2586,-1,1561
canning,3572,-1,-1
cannon,1575,-1,-1
cannot,196,167,163
canola,5514,-1,2840
canon,1394,-1,953
canopener,7619,-1,-1
canopy,2878,-1,-1
canteen,4050,-1,2217
canyon,1700,-1,-1
capable,634,-1,504
capably,6790,-1,-1
capacity,521,-1,420
cape,1059,-1,-1
capillary,5086,-1,2669
capital,263,214,221
capitol,1614,-1,-1
capped,2437,-1,-1
capricorn,4643,-1,2488
capsize,6483,-1,3255
capsule,2360,-1,1448
caption,2304,-1,-1
captivate,6121,-1,-1
captive,2361,-1,-1
captivity,2752,-1,-1
capture,882,-1,652
caramel,3016,-1,-1
carat,4116,-1,2250
caravan,2587,-1,1562
carbon,703,-1,554
cardboard,2469,-1,1500
carded,5481,-1,2826
cardiac,1987,-1,1269
cardigan,3902,-1,-1
cardinal,1846,-1,-1
cardstock,6964,-1,3445
carefully,817,-1,612
caregiver,4283,-1,2317
careless,2643,-1,-1
caress,4892,-1,2593
caretaker,3107,-1,-1
cargo,1237,-1,865
caring,1215,-1,-1
carless,7103,-1,-1
carload,6956,-1,-1
carmaker,6643,-1,-1
carnage,3608,-1,-1
carnation,5637,-1,-1
carnival,1944,-1,-1
carnivore,5696,-1,2908
carol,1576,-1,-1
carpenter,2071,-1,1300
carpentry,4801,-1,-1
carpool,5482,-1,2827
carport,6610,-1,-1
carried,457,-1,-1
carrot,2588,-1,1563
carrousel,7004,-1,-1
carry,350,268,296
cartel,2696,-1,1622
cartload,7450,-1,3618
carton,3977,-1,-1
cartoon,1454,-1,-1
cartridge,2722,-1,1634
cartwheel,6274,-1,-1
carve,3236,-1,1863
carving,2910,-1,-1
carwash,6780,-1,3368
cascade,3044,-1,1783
case,56,54,48
cash,330,-1,-1
casing,3448,-1,-1
casino,1307,-1,-1
casket,3724,-1,-1
cassette,3275,-1,1880
casually,2470,-1,-1
casualty,2604,-1,1571
catacomb,6863,-1,3401
catalog,1824,-1,1172
catalyst,2194,-1,1369
catalyze,6122,-1,-1
catapult,4644,-1,-1
cataract,4802,-1,-1
catatonic,6306,-1,3187
catcall,7113,-1,3497
catchable,7164,-1,-1
catcher,2819,-1,1680
catching,1216,614,-1
catchy,2985,-1,-1
caterer,5537,-1,-1
catering,2527,-1,-1
catfight,6803,-1,-1
catfish,3449,-1,1959
cathedral,1638,-1,-1
cathouse,7318,-1,-1
catlike,7176,-1,-1
catnap,7165,-1,-1
catnip,5697,-1,2909
catsup,7096,-1,3491
cattail,7125,-1,3501
cattishly,7620,-1,-1
cattle,1323,-1,-1
catty,6031,-1,3065
catwalk,4721,-1,2523
caucasian,3136,-1,-1
caucus,2697,-1,1623
causal,3517,-1,-1
causation,4326,-1,-1
cause,110,100,-1
causing,730,-1,566
cauterize,6902,-1,3417
caution,1686,-1,-1
cautious,2117,-1,1332
cavalier,4051,-1,-1
cavalry,2096,820,1318
caviar,4117,-1,-1
cavity,2605,-1,-1
cedar,2195,840,-1
celery,3552,-1,-1
celestial,2847,-1,1693
celibacy,4992,-1,2627
celibate,5538,-1,-1
celtic,1615,718,1067
cement,1750,745,-1
census,1238,621,866
ceramics,3137,-1,1823
ceremony,883,-1,653
certainly,266,217,224
certainty,2043,-1,-1
